DATE,IPN325211S
1972-01-01,38.9872
1972-02-01,38.8303
1972-03-01,40.1707
1972-04-01,40.5691
1972-05-01,41.0615
1972-06-01,40.6271
1972-07-01,39.6215
1972-08-01,40.2008
1972-09-01,40.3141
1972-10-01,40.8257
1972-11-01,42.8860
1972-12-01,44.2095
1973-01-01,44.1240
1973-02-01,47.1303
1973-03-01,45.5526
1973-04-01,45.5375
1973-05-01,45.4379
1973-06-01,44.2255
1973-07-01,45.3036
1973-08-01,42.7994
1973-09-01,42.0572
1973-10-01,42.9932
1973-11-01,44.2652
1973-12-01,46.3214
1974-01-01,48.0016
1974-02-01,49.9792
1974-03-01,47.0561
1974-04-01,47.7267
1974-05-01,46.7696
1974-06-01,45.8060
1974-07-01,44.7382
1974-08-01,44.8342
1974-09-01,44.0307
1974-10-01,42.4055
1974-11-01,39.9690
1974-12-01,34.5536
1975-01-01,31.7829
1975-02-01,27.6350
1975-03-01,26.0154
1975-04-01,27.1134
1975-05-01,27.9010
1975-06-01,30.3286
1975-07-01,31.6237
1975-08-01,34.0846
1975-09-01,35.6481
1975-10-01,37.1639
1975-11-01,37.2790
1975-12-01,38.3073
1976-01-01,37.9578
1976-02-01,39.1661
1976-03-01,39.7271
1976-04-01,40.1184
1976-05-01,40.4663
1976-06-01,40.0767
1976-07-01,39.1608
1976-08-01,38.8628
1976-09-01,39.1520
1976-10-01,39.1422
1976-11-01,40.1576
1976-12-01,40.1009
1977-01-01,39.8475
1977-02-01,43.4102
1977-03-01,44.7764
1977-04-01,45.4446
1977-05-01,45.9077
1977-06-01,45.7213
1977-07-01,46.0245
1977-08-01,44.9657
1977-09-01,45.3467
1977-10-01,46.4640
1977-11-01,46.8867
1977-12-01,47.1698
1978-01-01,49.0941
1978-02-01,47.7281
1978-03-01,48.7856
1978-04-01,48.8179
1978-05-01,48.7736
1978-06-01,48.8070
1978-07-01,48.7636
1978-08-01,48.9555
1978-09-01,48.7197
1978-10-01,48.7682
1978-11-01,49.5246
1978-12-01,50.4552
1979-01-01,49.3112
1979-02-01,50.1686
1979-03-01,50.2737
1979-04-01,50.4638
1979-05-01,50.1596
1979-06-01,49.4041
1979-07-01,49.9168
1979-08-01,50.7591
1979-09-01,48.5604
1979-10-01,49.4475
1979-11-01,49.2810
1979-12-01,49.7031
1980-01-01,51.5968
1980-02-01,49.7529
1980-03-01,48.5332
1980-04-01,45.8482
1980-05-01,39.0304
1980-06-01,34.4993
1980-07-01,34.2539
1980-08-01,38.7769
1980-09-01,43.5508
1980-10-01,46.1683
1980-11-01,48.3216
1980-12-01,50.1734
1981-01-01,50.4551
1981-02-01,49.7037
1981-03-01,50.8094
1981-04-01,49.6991
1981-05-01,49.5626
1981-06-01,49.2153
1981-07-01,48.9377
1981-08-01,47.3734
1981-09-01,46.7396
1981-10-01,45.0503
1981-11-01,43.3090
1981-12-01,39.0831
1982-01-01,41.1372
1982-02-01,45.0011
1982-03-01,44.1595
1982-04-01,44.7814
1982-05-01,43.9418
1982-06-01,43.0736
