DATE,IPG3261S
1972-01-01,25.5545
1972-02-01,25.8336
1972-03-01,26.1044
1972-04-01,26.3924
1972-05-01,26.6673
1972-06-01,27.0519
1972-07-01,27.1726
1972-08-01,27.5420
1972-09-01,28.0642
1972-10-01,28.7800
1972-11-01,29.7301
1972-12-01,30.2168
1973-01-01,30.8487
1973-02-01,31.2074
1973-03-01,31.2094
1973-04-01,31.4651
1973-05-01,31.7773
1973-06-01,31.4109
1973-07-01,32.0111
1973-08-01,32.0472
1973-09-01,32.1407
1973-10-01,31.9958
1973-11-01,32.1859
1973-12-01,31.8792
1974-01-01,31.8514
1974-02-01,31.5447
1974-03-01,30.8807
1974-04-01,30.7912
1974-05-01,30.6892
1974-06-01,30.8070
1974-07-01,30.2329
1974-08-01,30.7209
1974-09-01,30.2084
1974-10-01,29.6689
1974-11-01,28.0236
1974-12-01,26.5843
1975-01-01,25.6001
1975-02-01,23.4959
1975-03-01,23.0513
1975-04-01,23.3331
1975-05-01,23.7793
1975-06-01,24.0884
1975-07-01,24.8584
1975-08-01,25.9388
1975-09-01,26.7011
1975-10-01,27.0807
1975-11-01,27.1871
1975-12-01,27.4568
1976-01-01,27.8659
1976-02-01,27.9895
1976-03-01,28.2879
1976-04-01,28.6800
1976-05-01,29.3443
1976-06-01,29.1794
1976-07-01,29.7934
1976-08-01,29.7919
1976-09-01,30.0950
1976-10-01,30.6323
1976-11-01,31.2349
1976-12-01,31.7693
1977-01-01,32.1271
1977-02-01,33.3164
1977-03-01,33.8231
1977-04-01,34.5835
1977-05-01,35.4000
1977-06-01,36.0528
1977-07-01,36.1340
1977-08-01,36.3565
1977-09-01,37.3257
1977-10-01,38.1015
1977-11-01,38.4572
1977-12-01,38.6998
1978-01-01,38.0853
1978-02-01,37.6826
1978-03-01,39.2433
1978-04-01,39.1510
1978-05-01,39.0265
1978-06-01,39.1952
1978-07-01,39.2020
1978-08-01,38.6888
1978-09-01,39.2257
1978-10-01,39.3866
1978-11-01,39.7630
1978-12-01,39.8289
1979-01-01,39.7116
1979-02-01,39.5383
1979-03-01,39.4475
1979-04-01,38.0750
1979-05-01,38.7425
1979-06-01,38.8137
1979-07-01,39.0684
1979-08-01,38.2660
1979-09-01,38.2844
1979-10-01,38.7378
1979-11-01,38.8487
1979-12-01,38.5563
1980-01-01,38.9612
1980-02-01,38.7661
1980-03-01,38.8658
1980-04-01,38.0178
1980-05-01,35.5420
1980-06-01,33.8715
1980-07-01,33.7003
1980-08-01,34.9056
1980-09-01,35.4233
1980-10-01,36.3049
1980-11-01,36.8568
1980-12-01,37.3805
1981-01-01,37.3429
1981-02-01,37.0598
1981-03-01,37.5306
1981-04-01,38.0555
1981-05-01,38.4095
1981-06-01,38.4510
1981-07-01,38.7438
1981-08-01,39.5095
1981-09-01,39.6694
1981-10-01,39.3758
1981-11-01,38.9372
1981-12-01,38.7676
1982-01-01,37.4048
1982-02-01,39.6198
1982-03-01,39.4333
1982-04-01,39.6564
1982-05-01,40.3338
1982-06-01,40.2689
1982-07-01,40.7227
1982-08-01,40.7034
1982-09-01,40.6046
1982-10-01,39.3607
1982-11-01,39.1734
1982-12-01,39.2719
1983-01-01,39.4739
1983-02-01,39.5107
1983-03-01,40.5794
1983-04-01,41.6604
1983-05-01,42.1241
1983-06-01,42.4676
1983-07-01,43.3377
1983-08-01,43.7966
1983-09-01,44.7900
1983-10-01,45.2526
1983-11-01,45.7260
1983-12-01,46.3071
1984-01-01,47.3019
1984-02-01,47.9466
1984-03-01,48.1439
1984-04-01,49.3670
1984-05-01,49.6027
1984-06-01,50.2014
1984-07-01,50.7712
1984-08-01,51.1194
1984-09-01,51.4366
1984-10-01,51.7477
1984-11-01,52.0819
1984-12-01,52.7765
1985-01-01,52.5772
1985-02-01,52.0193
1985-03-01,52.4621
1985-04-01,52.4419
1985-05-01,52.5398
1985-06-01,52.7809
1985-07-01,52.9885
1985-08-01,53.3146
1985-09-01,53.4560
1985-10-01,53.8203
1985-11-01,54.0940
1985-12-01,54.7370
1986-01-01,54.9775
1986-02-01,55.1053
1986-03-01,55.3492
1986-04-01,54.8752
1986-05-01,55.4677
1986-06-01,55.4277
1986-07-01,55.8613
1986-08-01,56.8896
1986-09-01,57.6911
1986-10-01,58.4942
1986-11-01,59.5306
1986-12-01,60.3825
1987-01-01,61.1122
1987-02-01,62.3014
1987-03-01,63.0268
1987-04-01,63.5967
1987-05-01,63.8328
1987-06-01,63.9467
1987-07-01,64.2998
1987-08-01,64.1983
1987-09-01,64.5925
1987-10-01,65.4319
1987-11-01,65.8691
1987-12-01,66.1376
1988-01-01,65.9544
1988-02-01,65.5887
1988-03-01,65.8406
1988-04-01,66.4385
1988-05-01,66.3528
1988-06-01,66.4881
1988-07-01,66.2838
1988-08-01,66.1785
1988-09-01,67.0000
1988-10-01,67.4266
1988-11-01,68.1804
1988-12-01,68.3540
1989-01-01,69.0441
1989-02-01,69.3731
1989-03-01,69.4062
1989-04-01,69.4395
1989-05-01,69.2757
1989-06-01,69.2810
1989-07-01,69.5682
1989-08-01,69.9272
1989-09-01,70.3159
1989-10-01,70.5039
1989-11-01,70.4539
1989-12-01,70.1408
1990-01-01,70.0119
1990-02-01,70.8652
1990-03-01,71.6606
1990-04-01,71.7930
1990-05-01,72.3306
1990-06-01,73.1393
1990-07-01,73.0692
1990-08-01,73.2170
1990-09-01,73.3836
1990-10-01,72.7918
1990-11-01,71.2748
1990-12-01,71.3671
1991-01-01,70.6540
1991-02-01,69.6208
1991-03-01,69.2364
1991-04-01,69.6532
1991-05-01,70.5293
1991-06-01,71.6706
1991-07-01,72.4846
1991-08-01,73.6707
1991-09-01,74.1583
1991-10-01,74.7316
1991-11-01,74.7732
1991-12-01,74.8159
1992-01-01,74.9142
1992-02-01,75.5878
1992-03-01,76.3504
1992-04-01,77.5902
1992-05-01,78.4429
1992-06-01,79.1107
1992-07-01,79.8778
1992-08-01,79.7834
1992-09-01,79.8012
1992-10-01,79.8700
1992-11-01,80.3253
1992-12-01,80.6696
1993-01-01,81.8564
1993-02-01,82.3666
1993-03-01,81.6459
1993-04-01,82.4547
1993-05-01,82.8850
1993-06-01,83.3718
1993-07-01,84.5663
1993-08-01,84.6156
1993-09-01,84.7404
1993-10-01,85.4920
1993-11-01,86.6420
1993-12-01,87.4032
1994-01-01,88.0490
1994-02-01,87.6511
1994-03-01,90.2067
1994-04-01,91.3435
1994-05-01,91.5028
1994-06-01,92.7292
